Address,LOT_OPERATOR,Geo_Local_Area,Latitude,Longitude
Beach Ave. @ Cardero St,Easy Park / Park Board,West End,49.283155,-123.142173
1 Kingsway,Easypark,Mount Pleasant,49.2641594,-123.1002054
4575 Clancy Loranger Way,Park Board,Riley Park,49.243665,-123.106578
845 Avison Way,Vancouver Aquarium,,49.299534,-123.13022
273 E 53rd Ave,City of Vancouver,Sunset,49.22223502,-123.1000952
3311 E. Hastings,City of Vancouver,Hastings-Sunrise,49.281369,-123.033786
959-979 Mainland St,City of Vancouver,Downtown,49.27692322,-123.1192611
451 Beach Crescent,City of Vancouver,Downtown,49.272514,-123.12833
646 E. 44th Ave,City of Vancouver,Sunset,49.22992861,-123.0913534
5175 Dumfries St,City of Vancouver,Kensington-Cedar Cottage,49.23850632,-123.0754852
646 E. 44th Ave,City of Vancouver,Kensington-Cedar Cottage,49.237778,-123.074953
3350 Maquinna Dr,City of Vancouver,Killarney,49.215036,-123.032265
3350 Maquinna Dr,City of Vancouver,Killarney,49.215032,-123.032306
6260 Killarney St,City of Vancouver,Killarney,49.226948,-123.044804
6260 Killarney St,City of Vancouver,Killarney,49.226955,-123.044843
2099 Beach Ave,City of Vancouver,,49.291034,-123.145028
860 Richards St,City of Vancouver,Downtown,49.279351,-123.118962
860 Richards St,City of Vancouver,Downtown,49.279373,-123.118924
1200 Thornton St,City of Vancouver,Strathcona,49.274598,-123.09242
1201 Thornton St,City of Vancouver,Strathcona,49.27454,-123.092452
2221 Main St,Easypark,Mount Pleasant,49.265235,-123.101577
845 Avison Way,Vancouver Aquarium,,49.30047205,-123.1302292
Beach Ave. @ Bute St,Easy Park / Park Board,West End,49.278736,-123.137209
775 Hamilton St,Easypark,Downtown,49.27951686,-123.115166
1 Kingsway,Easypark,Mount Pleasant,49.26413139,-123.1001732
272 E 53rd Ave,City of Vancouver,Sunset,49.222282,-123.10009
1025 W 49th Ave,Telus / Retailer,Oakridge,49.226886,-123.129085
959-979 Mainland St,City of Vancouver,Downtown,49.27684,-123.11887
453 W. 12th Ave,City of Vancouver,Mount Pleasant,49.261154,-123.11318
453 W. 12th Ave,City of Vancouver,Mount Pleasant,49.261093,-123.11318
456 Beach Crescent,City of Vancouver,Downtown,49.272594,-123.12836
646 E. 44th Ave,City of Vancouver,Sunset,49.2299043,-123.0913508
3350 Maquinna Dr,City of Vancouver,Killarney,49.215032,-123.032341
860 Richards St,City of Vancouver,Downtown,49.279403,-123.118908
1664 E. 11th,City of Vancouver,Kensington-Cedar Cottage,49.26043,-123.070163
4575 Clancy Loranger Way,Park Board,Riley Park,49.243681,-123.106551
701 W. Georgia St.,Easy Park Lot,Downtown,49.283672,-123.1173
Beach Ave. @ Broughton St,Easy Park / Park Board,West End,49.281483,-123.139793
1305 Arbutus St,City of Vancouver,Kitsilano,49.273797,-123.152654
4575 Clancy Loranger Way,Park Board,Riley Park,49.243665,-123.106617
1100 Granville St,Best Western,Downtown,49.277692,-123.124668
1001 Cotton Dr,Park Board,Grandview-Woodland,49.276066,-123.071246
225 N Renfrew St,Pacific National Exhibition,Hastings-Sunrise,49.28638478,-123.0434945
453 W. 12th Ave,City of Vancouver,Mount Pleasant,49.26122,-123.11374
646 E. 44th Ave,City of Vancouver,Sunset,49.22977564,-123.09136
5175 Dumfries St,City of Vancouver,Kensington-Cedar Cottage,49.23855972,-123.0753326
6260 Killarney St,City of Vancouver,Killarney,49.226968,-123.044818
2099 Beach Ave,City of Vancouver,,49.291028,-123.14499
2099 Beach Ave,City of Vancouver,,49.291042,-123.145062
1664 E. 11th,City of Vancouver,Kensington-Cedar Cottage,49.260433,-123.070249
3360 Victoria Dr,City of Vancouver,Kensington-Cedar Cottage,49.256637,-123.065749
3360 Victoria Dr,City of Vancouver,Kensington-Cedar Cottage,49.256591,-123.06573
3360 Victoria Dr,City of Vancouver,Kensington-Cedar Cottage,49.256537,-123.065717
